"TIC","hostname","pl_name","sy_pnum","sy_snum","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_tranmid","pl_tranmiderr1","pl_tranmiderr2","pl_orbper_tess","pl_orbpererr1_tess","pl_orbpererr2_tess","pl_tranmid_tess","pl_tranmiderr1_tess","pl_tranmiderr2_tess","obrparams_tess"
158219569,"KOI-2174","Kepler-1874 b",1,1,56.57320023,,,2454979.57984,0.00482,-0.00482,,,,,,,0
159389232,"KOI-1408","Kepler-1749 b",1,1,14.53409958,,,2454978.42643,0.00257,-0.00257,,,,,,,0
159575346,"KOI-1359","Kepler-1744 b",1,1,37.10110092,,,2455203.4803,0.00202,-0.00202,,,,,,,0
164527535,"KOI-524","Kepler-1721 b",1,1,4.59238005,,,2455005.004723,0.000523,-0.000523,,,,,,,0
239225129,"KOI-1573","Kepler-1755 b",1,1,24.81209946,,,2454989.506971,0.000615,-0.000615,,,,,,,0
239291510,"KOI-2174","Kepler-1802 b",2,1,15.45020008,,,2455009.80202,0.00501,-0.00501,,,,,,,0
272839596,"KOI-473","Kepler-1720 b",1,1,12.70639992,,,2455013.63164,0.0011,-0.0011,,,,,,,0
27396246,"KOI-353","Kepler-1717 b",1,1,30.65279961,,,2454968.04193,0.00423,-0.00423,,,,,,,0
27911400,"KOI-2290","Kepler-1816 b",1,1,91.50099945,,,2454998.673019,0.000602,-0.000602,,,,,,,0
377910183,"KOI-1590","Kepler-1756 b",1,1,2.35575008,,,2455010.88996,0.00292,-0.00292,,,,,,,0
48353636,"KOI-1311","Kepler-1667 b",1,1,83.5781,,,2455035.455385,0.001551,-0.001551,,,,,,,0
48503881,"KOI-247","Kepler-1712 b",1,1,13.81499958,,,2455014.12552,0.00112,-0.00112,,,,,,,0
63212231,"KOI-373","Kepler-1718 b",1,1,135.1880035,,,2455023.93292,0.002,-0.002,,,,,,,0
63368895,"KOI-2687","Kepler-1869 b",1,1,8.16736031,,,2454969.20311,0.00153,-0.00153,,,,,,,0
