#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-11-23T11:17:57 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ637dfd101c8380	
#INFO	-out.max=1000	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/A+A/661/A23/tableb1
#-nav=cat:J/A+A/661/A23&tab:{J/A+A/661/A23/tableb1}&key:source=J/A+A/661/A23&HTTPPRM:&&-ref=VIZ637dfd101c8380&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Host&-out=Pl-letter&-out=Pl-asem&-out=Mass&-out=f_Mass&-out=Rad&-out=f_Rad&-out=Dist&-out=ftrans&-out=FX&-out=binary&-out=Xray-prov&-out=LX&-out=LXUV&-out=FplX&-out=FplXUV&-out=dM/dt&-out=SimbadName&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/661/A23/tableb1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/661/A23/tableb1
#-out=Host
#-out=Pl-letter
#-out=Pl-asem
#-out=Mass
#-out=f_Mass
#-out=Rad
#-out=f_Rad
#-out=Dist
#-out=ftrans
#-out=FX
#-out=binary
#-out=Xray-prov
#-out=LX
#-out=LXUV
#-out=FplX
#-out=FplXUV
#-out=dM/dt
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_36610023
#Name: J/A+A/661/A23
#Title: Exoplanet X-ray irradiation and evaporation rates (Foster+, 2022)
#Table	J_A_A_661_A23_tableb1:
#Name: J/A+A/661/A23/tableb1
#Title: Exoplanet irradiation fluxes and mass-loss rates
#Column	Host	(a27)	Host star name	[ucd=meta.id;meta.main]
#Column	Pl-letter	(A1)	Planet letter	[ucd=meta.note]
#Column	Pl-asem	(F23.18)	? Planet semi-major axis	[ucd=phys.size.smajAxis]
#Column	Mass	(F6.1)	? Planet mass	[ucd=phys.mass]
#Column	f_Mass	(F4.1)	[0/1]? Flag if mass was calculated	[ucd=meta.code]
#Column	Rad	(F4.1)	? Planet radius	[ucd=phys.angSize;src]
#Column	f_Rad	(F4.1)	[0/1]? Flag if radius was calculated	[ucd=meta.code]
#Column	Dist	(F10.6)	? Host star distance	[ucd=pos.distance]
#Column	ftrans	(I1)	[0/1]Flag if exoplanet is transiting	[ucd=meta.code]
#Column	FX	(E8.1)	Adopted stellar X-ray flux, 0.2-2 keV	[ucd=phot.flux;em.X-ray]
#Column	binary	(A1)	[0/1]Multi-stellar system flag	[ucd=meta.code]
#Column	Xray-prov	(A1)	[CERX] Adopted X-ray flux data source (1)	[ucd=meta.code]
#Column	LX	(D23.16)	? Stellar X-ray luminosity, 0.2-2keV	[ucd=phys.luminosity;em.X-ray]
#Column	LXUV	(D23.16)	? Stellar XUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	FplX	(D23.16)	? Planet Xray irradiation flux, 0.2-2keV	[ucd=phot.flux;em.X-ray]
#Column	FplXUV	(D21.14)	? Planetary XUV irradiation flux	[ucd=phot.flux;em.UV]
#Column	dM/dt	(F29.15)	? Estimated planetary mass loss rate	[ucd=phys.mass.loss]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Host	Pl-letter	Pl-asem	Mass	f_Mass	Rad	f_Rad	Dist	ftrans	FX	binary	Xray-prov	LX	LXUV	FplX	FplXUV	dM/dt	SimbadName	_RA	_DE
 	 	AU	Mgeo	 	Rgeo	 	pc	 	mW/m2	 	 	10-7W	10-7W	mW/m2	mW/m2	g/s	 	deg	deg
---------------------------	-	-----------------------	------	----	----	----	----------	-	--------	-	-	-----------------------	-----------------------	-----------------------	---------------------	-----------------------------	-----------------------	---------	---------
11 Com                     	b	   1.290000000000000036	6165.6	 0.0	12.4	 1.0	 93.184600	0	 2.8e-14	0	E	 2.9324372275858523e+28	 2.4939624216822792e+29	 6.2657960211193178e+00	 5.32889832102652e+01	      6110352.274008521810174	11 Com                 	185.17927	+17.79287
14 Her                     	b	   2.930000000000000160	1481.1	 0.0	13.1	 1.0	 17.932300	0	 2.4e-14	0	X	 9.3934588336876486e+26	 1.2264898899363291e+28	 3.8906059322551555e-02	 5.07990605603577e-01	       287744.070147358288523	14 Her                 	242.60132	+43.81764
18 Del                     	b	   2.600000000000000089	3273.5	 0.0	12.7	 1.0	 76.222000	0	 2.5e-13	1	R	 1.7397521311589891e+29	 1.1972870514364270e+30	 9.1509805051170243e+00	 6.29765026321587e+01	     14674587.923138231039047	18 Del                 	314.60806	+10.83929
1RXS J160929.1-210524      	b	 330.000000000000000000	3000.0	 0.0	12.8	 1.0	139.135000	0	 2.3e-13	0	E	 5.3791377945300719e+29	 3.2511430436737838e+30	 1.7563527242403800e-03	 1.06153702689270e-02	         2727.473530691741416	1RXS J160929.1-210524  	242.37628	-21.08304
2MASS J01033563-5515561 A  	b	  84.000000000000000000	      	    	    	    	          	0	 7.8e-14	1	E	                       	                       	                       	                     	                             	2MASS J01033563-5515561	015.89856	-55.26562
2MASS J01225093-2439505    	b	  52.000000000000000000	7786.5	 0.0	12.3	 1.0	 33.828100	0	 4.8e-13	0	E	 6.5468911485354395e+28	 5.0558362655143915e+29	 8.6090530076631984e-03	 6.64834062769109e-02	         5869.635093582823174	2MASS J01225093-2439505	020.71223	-24.66408
2MASS J02192210-3925225    	b	 156.000000000000000000	      	    	    	    	          	0	 5.3e-14	0	E	                       	                       	                       	                     	                             	2MASS J02192210-3925225	034.84213	-39.42293
30 Ari                     	b	   0.989999999999999991	4392.4	 0.0	12.6	 1.0	 44.657000	0	 2.9e-12	0	R	 6.8765307547686920e+29	 4.0424101840504071e+30	 2.4947437852178157e+02	 1.46655021894106e+03	    245850365.987161338329315	30 Ari B               	039.24061	+24.64806
51 Eri                     	b	  12.000000000000000000	      	    	    	    	 29.757500	0	 2.4e-13	0	E	 2.5110666140085890e+28	 2.1761481805589084e+29	 6.2004425902428668e-02	 5.37344640167751e-01	                             	51 Eri                 	069.40055	-02.47355
55 Cnc                     	b	   0.113400000000000001	 255.4	 0.0	14.1	 1.0	 12.585500	0	 4.6e-14	0	E	 8.6847994440295983e+26	 1.1453802381756024e+28	 2.4013785865630084e+01	 3.16701795493754e+02	   1284589382.674808025360107	55 Cnc                 	133.14921	+28.33082
55 Cnc                     	c	   0.237300000000000011	  51.2	 0.0	 8.4	 1.0	 12.585500	0	 4.6e-14	0	E	 8.6847994440295983e+26	 1.1453802381756024e+28	 5.4839219660253216e+00	 7.23237869574584e+01	    305678060.881491422653198	55 Cnc                 	133.14921	+28.33082
55 Cnc                     	d	   5.956999999999999851	 991.6	 0.0	13.3	 1.0	 12.585500	0	 4.6e-14	0	E	 8.6847994440295983e+26	 1.1453802381756024e+28	 8.7022497380919942e-03	 1.14768164099995e-01	       101888.633326259441674	55 Cnc                 	133.14921	+28.33082
55 Cnc                     	e	   0.015440000000000001	   8.0	 0.0	 1.9	 0.0	 12.585500	1	 4.6e-14	0	E	 8.6847994440295983e+26	 1.1453802381756024e+28	 1.2953649769382312e+03	 1.70837041819061e+04	   5217263408.541536331176758	55 Cnc                 	133.14921	+28.33082
55 Cnc                     	f	   0.770800000000000041	  47.8	 0.0	 8.0	 1.0	 12.585500	0	 4.6e-14	0	E	 8.6847994440295983e+26	 1.1453802381756024e+28	 5.1976057091598604e-01	 6.85477529270174e+00	     27478811.479510039091110	55 Cnc                 	133.14921	+28.33082
