M_star,M_star_up_err,M_star_low_err,M_pl,M_pl_up_err,M_pl_low_err,TIC,pl_bmassj_bibkey,st_mass_bibkey,multiple_star,ID,P_rot,P_rot_err,P_orb,P_orb_err,a,a_err,R_star,R_star_up_err,R_star_low_err,Teff,grav_pert,grav_pert_low_err,grav_pert_up_err,tidal_disip_timescale,tidal_disip_timescale_up_err,tidal_disip_timescale_low_err,torque_conv,torque_conv_up_err,torque_conv_low_err,number_of_flares,mean,std
0.53,0.02,0.02,0.0176036645906127,0.013215389240293,0.0073378154716691,122066949,chen2017probabilistic,morton2016false,,Kepler-705,20.09,1.0,56.0560538,0.0002485999999999,0.2319999999999999,0.0579999999999999,0.51,0.01,0.02,4000.0,6.987139258810589e-11,5.2142806635953675e-11,2.5232787265305176e-10,425507422679.776,197894267595.5388,212072357141.8029,-2.7091659030279827e-23,-4.870304622700594e-22,-2.511428590996141e-23,4,0.68875,0.02878257574760586
0.83,0.04,0.04,0.0011655902761029,0.0002058768240217,0.0002058768240217,158322085,chen2017probabilistic,morton2016false,,Kepler-1558,12.1554,0.0388,3.50470358,1.612e-05,0.0419,0.010475,0.79,0.04,0.04,4000.0,2.3801581851637903e-09,1.597607032756416e-09,6.361303925026834e-09,597916670.7141615,1440602261.6699114,469685613.314263,3.0525037296302395e-20,2.734392662530452e-19,2.634135864610957e-20,6,0.19665,0.019092319572714737
0.24,0.06,0.06,0.0063710452962378,0.0065257844027306,0.0034136158241122,158552258,chen2017probabilistic,morton2016false,,Kepler-1646,3.514,0.006,4.48558383,1.05e-05,0.0295,0.007375,0.26,0.05,0.05,4000.0,3.956561258145934e-09,3.562510749115649e-09,3.9374625277326134e-08,160379119.47183162,142110311.1626225,88335097.74573357,-2.8911050435120035e-20,-1.5750084399238436e-18,-2.8349691118917733e-20,3,0.7827999999999999,0.05943579168593061
0.63,0.02,0.02,0.011153904173373,0.0079725787574515,0.0039385319391987,164884002,chen2017probabilistic,burke2014planetary,,Kepler-55,13.72,0.001,2.2110990000000004,4e-06,0.0289999999999999,0.0072499999999999,0.62,0.03,0.03,4000.0,4.548244231341918e-08,3.354921058421909e-08,1.9533924589446165e-07,1769782.3115974648,1128763.3747959037,1166334.9700769424,7.57066366385256e-18,1.5084244783711338e-16,6.9225679506019814e-18,9,0.4346,0.03139596577056783
1.22,0.05,0.05,5.0,0.0,4.738997825127879,166527623,chen2017probabilistic,rizzuto2020tess,,HIP 67522,1.42,0.02,6.959503,1.55e-05,0.07508648862,0.00443010282858,1.38,0.06,0.06,4000.0,6.387133238107054e-06,6.152089124957369e-06,2.7365740771340007e-06,81.83340548357393,17420.96407854569,-56.77493970080127,-2.753151660449051e-13,-2.152643648027425e-13,-2.7488929624580813e-13,6,0.1482,0.048835233182611085
1.5,0.1,0.1,1.1,3.5,0.8,169461816,masuda2017eccentric,masuda2017eccentric,,KOI-12,1.23,0.14,17.855182,7e-06,0.154,0.05236,1.4,0.07,0.06,4000.0,1.2043183029244426e-07,1.095257384329209e-07,2.187165566697225e-06,174505.04119813725,-9864.757971630725,109053.5641301644,-1.9269152373768142e-16,-5.183993945722267e-14,-1.907027985538995e-16,8,0.0892,0.029258389110361726
0.16,0.01,0.01,0.0022584490237669,0.0014569245227167,0.0007974762446312,200322593,chen2017probabilistic,ment2021toi,,TOI-540,0.7261,0.0003916,1.2391491,1.7e-06,0.01223,0.0030575,0.19,0.01,0.01,4000.0,1.2726626189143313e-08,9.474851510557324e-09,5.2972129800002876e-08,18910858.1013102,13494442.723546896,12236420.737953808,-1.491215007545804e-19,-2.7813603994155697e-18,-1.3663794307822753e-19,14,0.1843,0.013999523801425053
0.51,0.02,0.02,0.0041213787225177,0.0026586996939271,0.0013423670400509,272942100,chen2017probabilistic,stassun2019revised,,Kepler-249,36.422,0.336,3.306539,1e-05,0.035,0.00875,0.48,0.02,0.02,4000.0,4.877450807351998e-09,3.4988278452668404e-09,1.8817310556503212e-08,121918851.7196842,82866458.02452613,81574612.19696611,9.302392056622698e-20,1.6417995058931329e-18,8.406174951794282e-20,3,0.4697,0.033553340618583206
0.88,0.04,0.05,0.0207810338250933,0.0171416776186257,0.0091546963484491,273379660,chen2017probabilistic,morton2016false,,Kepler-862,26.656,0.347,3.14866453,7.03e-06,0.039,0.00975,0.84,0.07,0.05,4000.0,6.218362804407504e-08,4.862346232874541e-08,3.3298160265855784e-07,951475.676454599,449715.23959824326,585669.1984249061,2.0279233508113176e-17,5.459065383173836e-16,1.905494989757907e-17,3,0.72805,0.038088099628799194
0.85,0.13,0.06,0.238,0.037,0.018,27769688,xie2014transit,xie2014transit,,Kepler-396,13.311,0.048,42.9929214,2.072e-05,0.2336,0.0584,1.06,0.39,0.2,4000.0,5.355288309200291e-09,4.174093524959347e-09,3.5254568502870036e-08,77399917.04885106,592407442.4288344,74129086.04149994,-1.8428989458076064e-19,-6.4372057795357525e-18,-1.6977894540560202e-19,3,0.8831,0.10341289410255697
