M_star,M_star_err,M_pl,M_pl_err,TIC,multiple_star,ID,P_rot,P_rot_err,P_orb,P_orb_err,a,a_err,R_star,R_star_err,Teff
0.87,0.05,0.0415,0.02075,120105470,binary,Kepler-1627,2.5949,0.0007,7.20283653,8.773e-05,0.0643,0.016075,0.84,0.09,4000.0
0.53,0.02,0.016,0.008,122066949,,Kepler-705,20.09,1.0,56.0560538,0.0002485999999999,0.2319999999999999,0.0579999999999999,0.51,0.01,4000.0
0.85,0.03,0.057,0.0285,138297607,binary,Kepler-636,17.2,0.1,16.08066115,5.6e-06,0.1185,0.029625,0.8,0.02,4000.0
0.83,0.04,0.00077,0.000385,158322085,,Kepler-1558,12.1554,0.0388,3.50470358,1.612e-05,0.0419,0.010475,0.79,0.04,4000.0
0.24,0.06,0.00642,0.00321,158552258,,Kepler-1646,3.514,0.006,4.48558383,1.05e-05,0.0295,0.007375,0.26,0.05,4000.0
0.63,0.02,0.00993,0.1169999999999999,164884002,,Kepler-55,13.72,0.001,2.2110990000000004,4e-06,0.0289999999999999,0.0072499999999999,0.62,0.03,4000.0
1.22,0.05,0.228,0.114,166527623,,HIP 67522,1.42,0.02,6.959503,1.55e-05,0.07508648862,0.00443010282858,1.38,0.06,4000.0
1.5,0.1,1.1,3.5,169461816,,KOI-12,1.23,0.14,17.855182,7e-06,0.154,0.05236,1.4,0.07,4000.0
0.16,0.01,0.00212,0.00106,200322593,,TOI-540,0.7261,0.0003916,1.2391491,1.7e-06,0.01223,0.0030575,0.19,0.01,4000.0
0.76,0.03,0.00859,0.004295,26417717,contaminated,Kepler-808,39.15,4.37,0.63133235,3.5e-07,0.0116,0.0029,0.71,0.02,4000.0
0.51,0.02,0.00416,0.00208,272942100,,Kepler-249,36.422,0.336,3.306539,1e-05,0.035,0.00875,0.48,0.02,4000.0
0.88,0.04,0.0174,0.0087,273379660,,Kepler-862,26.656,0.347,3.14866453,7.03e-06,0.039,0.00975,0.84,0.07,4000.0
0.85,0.13,0.238,0.037,27769688,,Kepler-396,13.311,0.048,42.9929214,2.072e-05,0.2336,0.0584,1.06,0.39,4000.0
0.09,0.0,0.00432,0.00022,278892590,,TRAPPIST-1,3.3,0.14,1.510826,6e-06,0.01154,0.0001,0.1192,0.0013,4000.0
0.68,0.02,0.00705,0.003525,28159518,,Kepler-367,15.4103,0.0645,37.815724,0.000279,0.201,0.05025,0.69,0.04,4000.0
0.81,0.02,0.084,0.0069999999999999,28230919,,HAT-P-11,28.16,2.66,4.88780244,7.1e-06,0.0525399999999999,0.0114537199999999,0.68,0.01,4000.0
0.64,0.02,0.0158,0.0079,298969755,nearby,Kepler-155,26.43,1.32,5.9311940000000005,8e-06,0.0559999999999999,0.0139999999999999,0.62,0.03,4000.0
0.27,0.03,0.00126,0.0005,307210830,,L 98-59,80.9,5.3,2.2531136000000003,1.35e-06,0.02191,0.0022567299999999,0.3,0.03,4000.0
0.26,0.01,0.0770899999999999,0.01793,434226736,,K2-25,1.878,0.005,3.48456408,5.5e-07,0.0287,0.0122835999999999,0.29,0.01,4000.0
0.5,0.03,0.0633,0.00494,441420236,,AU Mic,4.857,0.004,8.463,2e-06,0.0645,0.0119969999999999,0.75,0.03,4000.0
1.12,0.06,1.2,0.6,460205581,5mag fainer comoving object,TOI-837,3.0,0.05,8.3248762,1.57e-05,0.081872454444,0.020468113611,1.02,0.08,4000.0
0.43,0.01,0.0096099999999999,0.00480499999999995,468989066,,K2-354,10.39,0.81,3.793306,0.0003335,0.036322495935,0.00908062398375,0.41,0.01,4000.0
0.52,0.03,0.0127,0.00635,48353358,binary at 210 AU,Kepler-1651,18.184,0.133,9.87863917,1.0385e-05,0.0692,0.0089959999999999,0.5,0.03,4000.0
0.13,0.05,0.00099,0.000495,63126862,,Kepler-42,68.23,1.78,0.45328509,9.7e-07,0.006,0.0006,0.17,0.04,4000.0
0.14,0.01,0.0022,0.00028,439403362,,YZ Cet,68.28,0.28,2.02087,7.999999999999999e-05,0.01634,0.0009804,0.16,0.01,4000.0
