ID,qcs,lc_n,datapoints,mission,total_available_lcs
GJ 1132,9,0,15616,TESS,2
GJ 1132,10,0,15290,TESS,2
HATS-68,28,0,88067,TESS,2
HATS-68,29,0,88813,TESS,2
HD 15337,3,0,13095,TESS,3
HD 15337,4,0,15297,TESS,3
HD 15337,30,0,98893,TESS,3
HD 213885,1,0,15900,TESS,3
HD 213885,27,0,87945,TESS,3
HD 213885,28,0,80202,TESS,3
HD 23472,1,0,17373,TESS,8
HD 23472,2,0,17593,TESS,8
HD 23472,3,0,13133,TESS,8
GJ 1132,9,0,15616,TESS,2
GJ 1132,10,0,15290,TESS,2
HATS-68,28,0,88067,TESS,2
HATS-68,29,0,88813,TESS,2
HD 15337,3,0,13095,TESS,3
HD 15337,4,0,15297,TESS,3
HD 15337,30,0,98893,TESS,3
HD 213885,1,0,15900,TESS,3
HD 213885,27,0,87945,TESS,3
HD 213885,28,0,80202,TESS,3
HD 23472,1,0,17373,TESS,8
HD 23472,2,0,17593,TESS,8
HD 23472,3,0,13133,TESS,8
HD 23472,4,0,15156,TESS,8
HD 23472,11,0,15503,TESS,8
HD 23472,29,0,92566,TESS,8
HD 23472,30,0,98795,TESS,8
HD 23472,31,0,96565,TESS,8
L 168-9,1,0,17434,TESS,2
L 168-9,28,0,69698,TESS,2
L 98-59,2,0,17642,TESS,9
L 98-59,5,0,17034,TESS,9
L 98-59,8,0,12672,TESS,9
L 98-59,9,0,14957,TESS,9
L 98-59,10,0,15667,TESS,9
L 98-59,11,0,16473,TESS,9
L 98-59,12,0,17932,TESS,9
L 98-59,28,0,86119,TESS,9
L 98-59,29,0,89692,TESS,9
LHS 1140,3,0,13268,TESS,2
LHS 1140,30,0,94381,TESS,2
LHS 1815,1,0,17866,TESS,17
LHS 1815,2,0,18006,TESS,17
LHS 1815,3,0,13297,TESS,17
LHS 1815,4,0,15542,TESS,17
LHS 1815,5,0,17593,TESS,17
LHS 1815,7,0,16109,TESS,17
LHS 1815,8,0,13208,TESS,17
LHS 1815,9,0,15450,TESS,17
LHS 1815,10,0,15292,TESS,17
LHS 1815,11,0,16109,TESS,17
LHS 1815,12,0,18801,TESS,17
LHS 1815,13,0,19247,TESS,17
LHS 1815,27,0,99127,TESS,17
LHS 1815,28,0,86136,TESS,17
LHS 1815,29,0,87054,TESS,17
LHS 1815,30,0,96285,TESS,17
LHS 1815,31,0,98762,TESS,17
TIC 410214986,1,0,17858,TESS,3
TIC 410214986,27,0,99541,TESS,3
TIC 410214986,28,0,90455,TESS,3
HD 41004 A,5,0,17885,TESS,3
HD 41004 A,6,0,14826,TESS,3
HD 41004 A,7,0,16362,TESS,3
TOI-837,10,0,17482,TESS,2
TOI-837,11,0,17618,TESS,2
Kepler-1229,14,0,34812,Kepler,2
Kepler-1229,14,1,43782,Kepler,2
Kepler-1229,14,2,49958,Kepler,2
Kepler-1229,16,0,7622,Kepler,2
Kepler-1229,16,1,52385,Kepler,2
Kepler-1229,16,2,46462,Kepler,2
GJ 1061,3,0,13452,TESS,4
GJ 1061,4,0,15794,TESS,4
GJ 1061,30,0,101635,TESS,4
GJ 1061,31,0,100396,TESS,4
WASP-100,1,0,17079,TESS,18
WASP-100,2,0,17264,TESS,18
WASP-100,3,0,12719,TESS,18
WASP-100,4,0,15048,TESS,18
WASP-100,5,0,16914,TESS,18
WASP-100,6,0,14071,TESS,18
WASP-100,7,0,15505,TESS,18
WASP-100,9,0,14219,TESS,18
WASP-100,10,0,15362,TESS,18
WASP-100,11,0,15255,TESS,18
WASP-100,12,0,18037,TESS,18
WASP-100,13,0,18531,TESS,18
WASP-100,27,0,91621,TESS,18
WASP-100,28,0,81404,TESS,18
WASP-100,29,0,89880,TESS,18
WASP-100,30,0,95093,TESS,18
Kepler-102,2,0,42569,Kepler,18
Kepler-102,3,0,42142,Kepler,18
Kepler-102,3,1,43027,Kepler,18
Kepler-102,3,2,37213,Kepler,18
Kepler-102,4,0,44468,Kepler,18
Kepler-102,4,1,35786,Kepler,18
Kepler-102,4,2,41534,Kepler,18
Kepler-102,5,0,45204,Kepler,18
Kepler-102,5,1,39641,Kepler,18
Kepler-102,5,2,48044,Kepler,18
Kepler-102,6,0,38836,Kepler,18
Kepler-102,6,1,44302,Kepler,18
Kepler-102,6,2,43047,Kepler,18
Kepler-102,7,0,43083,Kepler,18
Kepler-102,7,1,41921,Kepler,18
Kepler-102,7,2,39977,Kepler,18
Kepler-102,8,0,25416,Kepler,18
Kepler-102,8,1,37710,Kepler,18
Kepler-102,8,2,28758,Kepler,18
Kepler-102,9,0,52173,Kepler,18
Kepler-102,9,1,40917,Kepler,18
Kepler-102,9,2,44666,Kepler,18
Kepler-102,10,0,43025,Kepler,18
Kepler-102,10,1,44056,Kepler,18
Kepler-102,10,2,43115,Kepler,18
Kepler-102,11,0,44232,Kepler,18
Kepler-102,11,1,42625,Kepler,18
Kepler-102,11,2,45398,Kepler,18
Kepler-102,12,0,33258,Kepler,18
Kepler-102,12,1,39192,Kepler,18
Kepler-102,12,2,32314,Kepler,18
Kepler-102,13,0,45883,Kepler,18
Kepler-102,13,1,41498,Kepler,18
Kepler-102,13,2,38227,Kepler,18
Kepler-102,14,0,34032,Kepler,18
Kepler-102,14,1,43201,Kepler,18
Kepler-102,14,2,49006,Kepler,18
Kepler-102,15,0,44082,Kepler,18
Kepler-102,15,1,35036,Kepler,18
Kepler-102,16,0,7463,Kepler,18
Kepler-102,16,1,51642,Kepler,18
Kepler-102,17,0,31965,Kepler,18
Kepler-102,17,1,5992,Kepler,18
Kepler-102,14,0,16260,TESS,18
Kepler-102,26,0,15756,TESS,18
TIC 89256802,4,0,15263,TESS,2
TIC 89256802,31,0,15957,TESS,2
Kepler-411,11,0,43979,Kepler,7
Kepler-411,11,1,42353,Kepler,7
Kepler-411,11,2,45140,Kepler,7
Kepler-411,13,0,45493,Kepler,7
Kepler-411,13,1,41083,Kepler,7
Kepler-411,13,2,37958,Kepler,7
Kepler-411,14,0,33888,Kepler,7
Kepler-411,14,1,42947,Kepler,7
Kepler-411,14,2,48679,Kepler,7
Kepler-411,15,0,43702,Kepler,7
Kepler-411,15,1,34648,Kepler,7
Kepler-411,15,2,49747,Kepler,7
Kepler-411,17,0,31760,Kepler,7
Kepler-411,17,1,6030,Kepler,7
Kepler-411,14,0,17953,TESS,7
Kepler-411,26,0,16477,TESS,7
GJ 3082,2,0,18317,TESS,2
GJ 3082,29,0,15636,TESS,2
Kepler-93,2,0,37210,Kepler,17
Kepler-93,3,0,42033,Kepler,17
Kepler-93,3,1,42917,Kepler,17
Kepler-93,3,2,36957,Kepler,17
Kepler-93,4,0,44317,Kepler,17
Kepler-93,4,1,35662,Kepler,17
Kepler-93,4,2,41106,Kepler,17
Kepler-93,5,0,45108,Kepler,17
Kepler-93,5,1,39371,Kepler,17
Kepler-93,5,2,47919,Kepler,17
Kepler-93,6,0,38568,Kepler,17
Kepler-93,6,1,44017,Kepler,17
Kepler-93,6,2,42937,Kepler,17
Kepler-93,7,0,42815,Kepler,17
Kepler-93,7,1,41644,Kepler,17
Kepler-93,7,2,39715,Kepler,17
Kepler-93,8,0,25360,Kepler,17
Kepler-93,8,1,37762,Kepler,17
Kepler-93,8,2,28506,Kepler,17
Kepler-93,9,0,51881,Kepler,17
Kepler-93,9,1,40660,Kepler,17
Kepler-93,9,2,44391,Kepler,17
Kepler-93,10,0,42916,Kepler,17
Kepler-93,10,1,43812,Kepler,17
Kepler-93,10,2,42824,Kepler,17
Kepler-93,11,0,44127,Kepler,17
Kepler-93,11,1,42507,Kepler,17
Kepler-93,11,2,45252,Kepler,17
Kepler-93,12,0,33330,Kepler,17
Kepler-93,12,1,38924,Kepler,17
Kepler-93,12,2,32062,Kepler,17
Kepler-93,13,0,45568,Kepler,17
Kepler-93,13,1,41242,Kepler,17
Kepler-93,13,2,38239,Kepler,17
Kepler-93,14,0,34016,Kepler,17
Kepler-93,14,1,42912,Kepler,17
Kepler-93,14,2,48720,Kepler,17
Kepler-93,15,0,43827,Kepler,17
Kepler-93,15,1,34594,Kepler,17
Kepler-93,15,2,49832,Kepler,17
Kepler-93,16,0,7362,Kepler,17
Kepler-93,16,1,51340,Kepler,17
Kepler-93,17,1,5974,Kepler,17
TOI-169,13,0,18973,TESS,3
TOI-169,27,0,97387,TESS,3
TOI-169,28,0,88125,TESS,3
Kepler-725,10,0,43583,Kepler,7
Kepler-725,10,1,44610,Kepler,7
Kepler-725,10,2,43667,Kepler,7
Kepler-725,12,0,34037,Kepler,7
Kepler-725,12,1,39984,Kepler,7
Kepler-725,12,2,32550,Kepler,7
Kepler-725,13,0,46411,Kepler,7
Kepler-725,13,1,41892,Kepler,7
Kepler-725,14,0,34416,Kepler,7
Kepler-725,14,1,43754,Kepler,7
Kepler-725,14,2,49562,Kepler,7
Kepler-725,15,0,44479,Kepler,7
Kepler-725,15,1,51070,Kepler,7
Kepler-725,16,0,7226,Kepler,7
Kepler-725,16,1,52356,Kepler,7
Kepler-725,16,2,46068,Kepler,7
Kepler-725,17,0,32600,Kepler,7
Kepler-725,17,1,6151,Kepler,7
Kepler-504,6,0,39413,Kepler,7
Kepler-504,6,1,44930,Kepler,7
Kepler-504,6,2,43673,Kepler,7
Kepler-504,7,0,43710,Kepler,7
Kepler-504,7,1,42374,Kepler,7
Kepler-504,7,2,40446,Kepler,7
Kepler-504,8,0,25673,Kepler,7
Kepler-504,8,1,38319,Kepler,7
Kepler-504,8,2,29173,Kepler,7
Kepler-504,9,0,52847,Kepler,7
Kepler-504,9,1,41384,Kepler,7
Kepler-504,9,2,45284,Kepler,7
Kepler-504,10,0,43653,Kepler,7
Kepler-504,10,1,44600,Kepler,7
Kepler-504,10,2,43735,Kepler,7
Kepler-504,11,0,44858,Kepler,7
Kepler-504,11,1,43218,Kepler,7
Kepler-504,11,2,45985,Kepler,7
Kepler-504,12,0,33713,Kepler,7
Kepler-504,12,1,39674,Kepler,7
Kepler-504,12,2,32620,Kepler,7
TIC 318937509,7,0,15699,TESS,1
WASP-117,2,0,17977,TESS,4
WASP-117,3,0,13113,TESS,4
WASP-117,29,0,91978,TESS,4
WASP-117,30,0,100609,TESS,4
TIC 348538431,7,0,15475,TESS,1
TIC 238086647,6,0,14576,TESS,3
TIC 238086647,7,0,16077,TESS,3
TIC 238086647,8,0,13200,TESS,3
TIC 278683844,1,0,17627,TESS,17
TIC 278683844,2,0,17699,TESS,17
TIC 278683844,3,0,12966,TESS,17
TIC 278683844,4,0,15303,TESS,17
TIC 278683844,5,0,17329,TESS,17
TIC 278683844,6,0,14510,TESS,17
TIC 278683844,8,0,13014,TESS,17
TIC 278683844,10,0,15686,TESS,17
TIC 278683844,11,0,15868,TESS,17
TIC 278683844,12,0,18447,TESS,17
TIC 278683844,13,0,18852,TESS,17
TIC 278683844,27,0,88239,TESS,17
TIC 278683844,28,0,73775,TESS,17
TIC 278683844,29,0,72773,TESS,17
TIC 278683844,30,0,96410,TESS,17
TIC 278683844,31,0,97449,TESS,17
TIC 15863518,20,0,15484,TESS,1
WASP-164,28,0,68978,TESS,1
Kepler-908,4,0,40172,Kepler,2
Kepler-908,17,0,30942,Kepler,2
Kepler-908,17,1,5821,Kepler,2
TIC 42015200,29,0,13958,TESS,2
TIC 42015200,30,0,16078,TESS,2
Kepler-408,2,0,37531,Kepler,12
Kepler-408,5,0,45252,Kepler,12
Kepler-408,5,1,39603,Kepler,12
Kepler-408,5,2,48097,Kepler,12
Kepler-408,6,0,38830,Kepler,12
Kepler-408,6,1,44351,Kepler,12
Kepler-408,6,2,43095,Kepler,12
Kepler-408,7,0,43056,Kepler,12
Kepler-408,7,1,41796,Kepler,12
Kepler-408,7,2,39868,Kepler,12
Kepler-408,10,0,43077,Kepler,12
Kepler-408,10,1,44026,Kepler,12
Kepler-408,10,2,43154,Kepler,12
Kepler-408,11,0,44280,Kepler,12
Kepler-408,11,1,42685,Kepler,12
Kepler-408,11,2,45332,Kepler,12
Kepler-408,13,0,45761,Kepler,12
Kepler-408,13,1,41389,Kepler,12
Kepler-408,13,2,38362,Kepler,12
Kepler-408,14,0,34134,Kepler,12
Kepler-408,14,1,43246,Kepler,12
Kepler-408,14,2,48901,Kepler,12
Kepler-408,15,0,43971,Kepler,12
Kepler-408,15,1,34903,Kepler,12
Kepler-408,15,2,50016,Kepler,12
Kepler-408,17,0,31925,Kepler,12
Kepler-408,17,1,6001,Kepler,12
Kepler-408,14,0,18059,TESS,12
Kepler-408,15,0,12986,TESS,12
TIC 278866211,1,0,17668,TESS,10
TIC 278866211,2,0,17861,TESS,10
TIC 278866211,3,0,13108,TESS,10
TIC 278866211,5,0,17471,TESS,10
TIC 278866211,6,0,14451,TESS,10
TIC 278866211,8,0,13116,TESS,10
TIC 278866211,9,0,15345,TESS,10
TIC 278866211,11,0,15938,TESS,10
TIC 278866211,12,0,18604,TESS,10
TIC 278866211,13,0,19087,TESS,10
TIC 180695581,22,0,15553,TESS,2
TIC 180695581,23,0,10197,TESS,2
WASP-159,31,0,94315,TESS,1
TIC 366563452,17,0,13574,TESS,8
TIC 366563452,18,0,14202,TESS,8
TIC 366563452,19,0,16157,TESS,8
TIC 366563452,20,0,16926,TESS,8
TIC 366563452,23,0,13322,TESS,8
TIC 366563452,24,0,15529,TESS,8
TIC 366563452,26,0,15387,TESS,8
TIC 93125144,6,0,14648,TESS,1
Kepler-8,2,0,40071,Kepler,11
Kepler-8,2,1,41741,Kepler,11
Kepler-8,2,2,36835,Kepler,11
Kepler-8,3,0,41336,Kepler,11
Kepler-8,3,1,42427,Kepler,11
Kepler-8,3,2,36639,Kepler,11
Kepler-8,4,0,43662,Kepler,11
Kepler-8,4,1,35184,Kepler,11
Kepler-8,4,2,40580,Kepler,11
Kepler-8,5,0,44413,Kepler,11
Kepler-8,5,1,38872,Kepler,11
Kepler-8,5,2,47192,Kepler,11
Kepler-8,6,0,38080,Kepler,11
Kepler-8,6,1,43499,Kepler,11
Kepler-8,6,2,42302,Kepler,11
Kepler-8,7,0,42279,Kepler,11
Kepler-8,9,0,51344,Kepler,11
Kepler-8,9,1,40148,Kepler,11
Kepler-8,9,2,43856,Kepler,11
Kepler-8,10,0,42417,Kepler,11
Kepler-8,10,1,43291,Kepler,11
Kepler-8,10,2,42456,Kepler,11
Kepler-8,11,0,43431,Kepler,11
Kepler-8,11,1,41821,Kepler,11
Kepler-8,11,2,44570,Kepler,11
Kepler-8,12,0,32866,Kepler,11
Kepler-8,12,1,38423,Kepler,11
Kepler-8,12,2,31594,Kepler,11
Kepler-8,13,0,45049,Kepler,11
Kepler-8,13,1,40533,Kepler,11
Kepler-8,13,2,37560,Kepler,11
TIC 409934330,13,0,18695,TESS,2
TIC 409934330,27,0,96262,TESS,2
Kepler-1084,11,0,43051,Kepler,8
Kepler-1084,11,1,41392,Kepler,8
Kepler-1084,11,2,43988,Kepler,8
Kepler-1084,12,0,32439,Kepler,8
Kepler-1084,12,1,38110,Kepler,8
Kepler-1084,12,2,31204,Kepler,8
Kepler-1084,13,0,44512,Kepler,8
Kepler-1084,13,1,40304,Kepler,8
Kepler-1084,13,2,37246,Kepler,8
Kepler-1084,14,0,33036,Kepler,8
Kepler-1084,14,1,41969,Kepler,8
Kepler-1084,14,2,47501,Kepler,8
Kepler-1084,15,0,42735,Kepler,8
Kepler-1084,15,1,33943,Kepler,8
Kepler-1084,15,2,48613,Kepler,8
Kepler-1084,16,0,7330,Kepler,8
Kepler-1084,16,1,50149,Kepler,8
