istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note,final
32,35,70477,70480,1325.34586905692,1325.35003572394,0.223646978440822,0.029207566030416,0.000724017182169,0.00416666701949,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
208,212,70653,70657,1325.59031342625,1325.59586897793,0.38231618653123,0.031504961322416,0.001358288531153,0.005555551677844,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,need broader coverage,0
942,946,71390,71394,1326.61392302633,1326.61947857056,0.216937145819971,0.027593143846809,0.000670059067836,0.005555544228628,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
982,1043,71430,71493,1326.66947846815,1326.75697828416,34.5870051688938,0.133660429221827,0.009919155475068,0.087499816007949,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,Gradual has tail,0
1080,1087,71530,71537,1326.80836706175,1326.81808926275,0.647422594603277,0.044211091842231,0.001098658879708,0.00972220100175,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,Gradual has tail,0
1355,1363,71820,71828,1327.21114389537,1327.2222549787,0.901708518082883,0.047796879965672,0.001257235628438,0.011111083334072,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,Gradual has tail,0
1509,1519,71983,71993,1327.43753219694,1327.45142104866,0.661331571445042,0.038413147381384,0.001381279990657,0.01388885172355,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
1532,1539,72006,72013,1327.4694765553,1327.47919875118,0.659758276680266,0.044818545392224,0.001440748553259,0.009722195880386,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
1818,1827,72313,72322,1327.89586421254,1327.90836417401,1.66914386621722,0.039893873489301,0.003435369472,0.012499961474077,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
1997,2004,72492,72499,1328.14447453456,1328.15419672485,0.923981049288063,0.045493555130241,0.002392061877847,0.009722190292223,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
2222,2226,72717,72721,1328.45697346667,1328.46252900251,0.186790149552988,0.027467445081216,0.000432797561733,0.005555535847634,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
2254,2278,72751,72775,1328.50419551997,1328.53752873272,14.7289599069996,0.03500199205603,0.02563025999555,0.033333212750677,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
2304,2307,72801,72804,1328.57363971199,1328.57780636364,0.302502240464885,0.030095791445744,0.001241595031079,0.004166651651758,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
2421,2429,72918,72926,1328.73613913844,1328.74725022572,1.8122307983142,0.022931240338071,0.005914179488837,0.011111087289237,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
2457,2463,72954,72961,1328.78613903147,1328.79586123268,0.521238023654599,0.039744726613314,0.001174910350326,0.009722201204795,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
