Sec.,$t_s$ [BTJD],$t_f$ [BTJD],orb. phase,$ED$ [s],$\sigma_{ED}$ [s],$a$
27,2058.2378,2058.2526,0.001,3.4762,0.0413,0.007
27,2058.2584,2058.2593,0.004,0.1026,0.0122,0.002
27,2041.3551,2041.3572,0.006,0.2325,0.0197,0.002
1,1330.4514,1330.4709,0.007,1.6454,0.0324,0.003
27,2041.369,2041.3734,0.008,0.7045,0.0267,0.003
27,2041.6186,2041.6202,0.038,0.1467,0.016,0.002
27,2050.1252,2050.1259,0.043,0.099,0.0089,0.003
27,2050.1724,2050.1731,0.048,0.0657,0.0102,0.001
1,1330.8028,1330.825,0.049,1.723,0.0646,0.002
27,2058.7093,2058.7148,0.057,0.743,0.0264,0.004
1,1330.9097,1330.9278,0.061,1.0644,0.043,0.001
27,2041.8783,2041.879,0.068,0.0735,0.0116,0.001
27,2041.8857,2041.8864,0.069,0.0695,0.0113,0.001
27,2050.3657,2050.3669,0.071,0.1643,0.0135,0.002
27,2058.8354,2058.8553,0.072,7.4373,0.0477,0.014
27,2041.9364,2041.9406,0.075,0.2827,0.0206,0.002
27,2041.994,2041.9952,0.082,0.1637,0.0126,0.003
27,2059.0989,2059.0998,0.103,0.1086,0.0129,0.002
27,2059.1091,2059.1109,0.104,0.2939,0.0169,0.004
27,2050.656,2050.6581,0.105,0.2063,0.018,0.002
27,2050.656,2050.6717,0.105,0.9958,0.0392,0.002
27,2042.1952,2042.1961,0.106,0.1003,0.0122,0.002
27,2042.204,2042.2047,0.107,0.1052,0.0103,0.002
1,1339.836,1339.8527,0.116,1.8742,0.0624,0.002
27,2059.2276,2059.2283,0.118,0.0774,0.01,0.002
1,1331.3945,1331.4097,0.118,1.0054,0.0341,0.001
27,2050.7812,2050.7831,0.12,0.2774,0.0146,0.003
1,1331.4486,1331.4597,0.125,0.6757,0.0484,0.001
27,2050.8588,2050.869,0.129,2.0095,0.0374,0.005
27,2059.3521,2059.3535,0.133,0.1546,0.0133,0.002
27,2059.3549,2059.3574,0.133,0.2818,0.0162,0.002
