istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,phase,total_n_valid_data_points,ID,TIC,qcs,mission,tstamp,lc_n,w,mask_pos_outliers_sigma,real,note
,,,,,,,,,,-1.0,104902,NGTS-6,1528696,32,TESS,2022_07_30,1,361,2.5,-1.0,
8444.0,8447.0,161356.0,161359.0,1451.56442142948,1451.56858812241,7.52481169157627,1.2203455118316,0.021235478495354,0.004166692923945,0.921427511487086,17083,NGTS-6,1528696,5,TESS,2022_07_30,2,61,2.5,0.0,
,,,,,,,,,,-1.0,9762,K2-169,12770870,42,TESS,2022_07_29,1,61,2.5,-1.0,
,,,,,,,,,,-1.0,9718,K2-367,12821302,42,TESS,2022_07_29,1,61,2.5,-1.0,
,,,,,,,,,,-1.0,18300,K2-54,12822545,2,TESS,2022_07_29,1,61,2.5,-1.0,
,,,,,,,,,,-1.0,9711,K2-54,12822545,42,TESS,2022_07_29,2,61,2.5,-1.0,
,,,,,,,,,,-1.0,12978,WASP-44,12862099,3,TESS,2022_07_29,1,61,2.5,-1.0,
,,,,,,,,,,-1.0,104851,WASP-61,13021029,32,TESS,2022_07_29,1,361,2.5,-1.0,
,,,,,,,,,,-1.0,17046,WASP-61,13021029,5,TESS,2022_07_29,2,61,2.5,-1.0,
,,,,,,,,,,-1.0,101178,WASP-36,13349647,34,TESS,2022_07_29,1,361,2.5,-1.0,
,,,,,,,,,,-1.0,12882,WASP-36,13349647,8,TESS,2022_07_29,2,61,2.5,-1.0,
,,,,,,,,,,-1.0,13081,K2-179,14078624,42,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15626,K2-179,14078624,44,TESS,2022_07_30,3,59,2.5,-1.0,
7792.0,7795.0,907357.0,907360.0,2487.67633198645,2487.68049900634,5.65943573821356,0.566245923582018,0.02026390158676,0.004167019896158,0.098728756617315,15626,K2-179,14078624,43,TESS,2022_07_30,2,59,2.5,0.0,
,,,,,,,,,,-1.0,13081,K2-90,14111411,42,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15697,K2-90,14111411,43,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,15624,K2-90,14111411,44,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,13327,K2-85,14160842,42,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15684,K2-85,14160842,43,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,15617,K2-85,14160842,44,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,81971,WASP-183,14344979,35,TESS,2022_07_30,1,361,2.5,-1.0,
,,,,,,,,,,-1.0,15886,WASP-183,14344979,45,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,16097,WASP-183,14344979,46,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,15233,K2-276,14570090,44,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15472,K2-276,14570090,45,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,16716,K2-276,14570090,46,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,15233,K2-346,14570099,44,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15475,K2-346,14570099,45,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,16716,K2-346,14570099,46,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,15231,K2-347,14603874,44,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15477,K2-347,14603874,45,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,16708,K2-347,14603874,46,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,15231,K2-347,14603874,44,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15477,K2-347,14603874,45,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,16708,K2-347,14603874,46,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,92856,HATS-18,14614418,36,TESS,2022_07_30,1,361,2.5,-1.0,
,,,,,,,,,,-1.0,92856,HATS-18,14614418,36,TESS,2022_07_30,1,361,2.5,-1.0,
,,,,,,,,,,-1.0,13618,HATS-18,14614418,10,TESS,2022_07_30,2,61,2.5,-1.0,
,,,,,,,,,,-1.0,15257,K2-122,14635562,44,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15457,K2-122,14635562,45,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,16731,K2-122,14635562,46,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,92883,HATS-22,14661418,36,TESS,2022_07_30,1,361,2.5,-1.0,
,,,,,,,,,,-1.0,13571,HATS-22,14661418,10,TESS,2022_07_30,2,61,2.5,-1.0,
,,,,,,,,,,-1.0,15809,HAT-P-39,14770122,44,TESS,2022_07_30,1,59,2.5,-1.0,
,,,,,,,,,,-1.0,15458,HAT-P-39,14770122,45,TESS,2022_07_30,2,59,2.5,-1.0,
,,,,,,,,,,-1.0,15316,HAT-P-39,14770122,46,TESS,2022_07_30,3,59,2.5,-1.0,
,,,,,,,,,,-1.0,15047,WASP-87,15445551,10,TESS,2022_07_30,2,61,2.5,-1.0,
,,,,,,,,,,-1.0,13541,WASP-87,15445551,11,TESS,2022_07_30,3,61,2.5,-1.0,
61801.0,61804.0,4741110.0,4741113.0,2324.93771809594,2324.9384125424,0.7707676912113671,0.102242345236077,0.017561088745529998,0.000694446463513,0.819391010818567,94790,WASP-87,15445551,37,TESS,2022_07_30,1,361,2.5,0.0,
,,,,,,,,,,-1.0,93862,V1298 Tau,15756231,44,TESS,2022_07_30,2,359,2.5,-1.0,
