Kepler,Kepler-634,TIC 137089993,08,short
Kepler,Kepler-261,TIC 137148674,09,short
Kepler,Kepler-772,TIC 137150277,09,short
Kepler,Kepler-93,TIC 137151335,02,short
Kepler,Kepler-93,TIC 137151335,06,short
Kepler,Kepler-93,TIC 137151335,03,short
Kepler,Kepler-93,TIC 137151335,04,short
Kepler,Kepler-93,TIC 137151335,05,short
Kepler,Kepler-93,TIC 137151335,07,short
Kepler,Kepler-93,TIC 137151335,08,short
Kepler,Kepler-93,TIC 137151335,09,short
Kepler,Kepler-906,TIC 137154728,09,short
Kepler,Kepler-775,TIC 137211068,09,short
Kepler,Kepler-234,TIC 137318075,07,short
Kepler,Kepler-234,TIC 137318075,08,short
Kepler,Kepler-787,TIC 137318289,09,short
Kepler,Kepler-496,TIC 137341066,06,short
Kepler,Kepler-496,TIC 137341066,07,short
Kepler,Kepler-206,TIC 137342279,08,short
Kepler,Kepler-483,TIC 137342400,03,short
Kepler,Kepler-483,TIC 137342400,04,short
Kepler,Kepler-483,TIC 137342400,05,short
Kepler,Kepler-483,TIC 137342400,06,short
Kepler,Kepler-483,TIC 137342400,07,short
Kepler,Kepler-264,TIC 137347078,09,short
Kepler,Kepler-268,TIC 137348987,09,short
Kepler,Kepler-639,TIC 137409501,08,short
Kepler,Kepler-151,TIC 137410997,07,short
Kepler,Kepler-151,TIC 137410997,08,short
Kepler,Kepler-627,TIC 137413972,08,short
Kepler,Kepler-625,TIC 137414304,08,short
Kepler,Kepler-542,TIC 137484431,08,short
Kepler,Kepler-49,TIC 137555411,06,short
Kepler,Kepler-49,TIC 137555411,07,short
Kepler,Kepler-49,TIC 137555411,08,short
Kepler,Kepler-49,TIC 137555411,09,short
Kepler,Kepler-27,TIC 137556626,07,short
Kepler,Kepler-27,TIC 137556626,09,short
Kepler,Kepler-27,TIC 137556626,08,short
Kepler,Kepler-637,TIC 137626872,08,short
Kepler,Kepler-167,TIC 137686948,09,short
Kepler,Kepler-45,TIC 137899948,06,short
Kepler,Kepler-45,TIC 137899948,07,short
Kepler,Kepler-45,TIC 137899948,08,short
Kepler,Kepler-74,TIC 137903329,04,short
Kepler,Kepler-74,TIC 137903329,05,short
Kepler,Kepler-74,TIC 137903329,06,short
Kepler,Kepler-74,TIC 137903329,07,short
Kepler,Kepler-520,TIC 138097531,06,short
Kepler,Kepler-520,TIC 138097531,07,short
Kepler,Kepler-520,TIC 138097531,08,short
Kepler,Kepler-630,TIC 138216186,09,short
Kepler,Kepler-517,TIC 138297129,06,short
Kepler,Kepler-517,TIC 138297129,07,short
Kepler,Kepler-517,TIC 138297129,08,short
Kepler,Kepler-201,TIC 138297190,08,short
Kepler,Kepler-636,TIC 138297607,08,short
Kepler,Kepler-56,TIC 138430034,09,short
Kepler,Kepler-541,TIC 138569175,07,short
Kepler,Kepler-541,TIC 138569175,08,short
Kepler,Kepler-146,TIC 138569990,07,short
Kepler,Kepler-146,TIC 138569990,08,short
Kepler,Kepler-544,TIC 138571095,08,short
Kepler,Kepler-1171,TIC 138888759,02,short
Kepler,Kepler-633,TIC 138969239,07,short
Kepler,Kepler-633,TIC 138969239,08,short
Kepler,Kepler-624,TIC 138972811,08,short
Kepler,Kepler-493,TIC 139104940,04,short
Kepler,Kepler-493,TIC 139104940,05,short
Kepler,Kepler-493,TIC 139104940,07,short
Kepler,Kepler-908,TIC 139106731,04,short
Kepler,Kepler-487,TIC 139158696,04,short
Kepler,Kepler-487,TIC 139158696,09,short
Kepler,Kepler-487,TIC 139158696,08,short
Kepler,Kepler-487,TIC 139158696,07,short
Kepler,Kepler-487,TIC 139158696,05,short
Kepler,Kepler-529,TIC 158108219,06,short
Kepler,Kepler-529,TIC 158108219,07,short
Kepler,Kepler-412,TIC 158170594,04,short
Kepler,Kepler-412,TIC 158170594,05,short
Kepler,Kepler-412,TIC 158170594,06,short
Kepler,Kepler-412,TIC 158170594,07,short
Kepler,Kepler-886,TIC 158215023,09,short
Kepler,Kepler-1874,TIC 158219569,13,short
Kepler,Kepler-1874,TIC 158219569,14,short
Kepler,Kepler-1874,TIC 158219569,15,short
Kepler,Kepler-1874,TIC 158219569,16,short
Kepler,KOI-13,TIC 158324245,02,short
Kepler,KOI-13,TIC 158324245,03,short
Kepler,KOI-13,TIC 158324245,07,short
Kepler,KOI-13,TIC 158324245,08,short
Kepler,KOI-13,TIC 158324245,09,short
Kepler,Kepler-828,TIC 158386765,09,short
Kepler,Kepler-152,TIC 158387462,09,short
Kepler,Kepler-491,TIC 158388163,04,short
Kepler,Kepler-491,TIC 158388163,05,short
Kepler,Kepler-491,TIC 158388163,06,short
Kepler,Kepler-491,TIC 158388163,07,short
Kepler,Kepler-178,TIC 158394235,09,short
Kepler,Kepler-651,TIC 158415898,08,short
Kepler,Kepler-605,TIC 158423850,07,short
Kepler,Kepler-605,TIC 158423850,08,short
Kepler,Kepler-605,TIC 158423850,09,short
Kepler,Kepler-244,TIC 158426969,09,short
Kepler,Kepler-279,TIC 158428960,09,short
