"TIC","ID","st_rotp","st_rotp_err","source","note","age","age_uperr","age_lowerr","agesource","abs_tstart_min","abs_tstart_max","time_span_d","coherence_timescale_rotation_d","coherence_ratio"
25155310,"WASP-126",,,"maxted2016five","no rotation in WASP data",6.4,1.6,1.6,"maxted2016five",2459338.0584757,2459338.0584757,0,"inf",0
26417717,"Kepler-808",39.15,4.37,"mazeh2015photometric",,,,,,2455663.11999686,2455927.04223448,263.922237626277,350.737414187643,0.752478141625004
27769688,"Kepler-396",13.311,0.048,"angus2018inferring",,,,,,2455941.20792596,2456365.27124037,424.06331440853,3691.3066875,0.114881626022717
28159518,"Kepler-367",15.4103,0.0645,"angus2018inferring",,,,,,2456152.80071333,2456388.47999161,235.679278280586,3681.81931922481,0.064011636054484
28230919,"HAT-P-11",28.16,2.66,"angus2018inferring","upper error given",,,,,2455763.87358918,2456014.62470528,250.751116100699,298.114887218045,0.841122422434731
43605290,"GJ 3323",33,,"Astudillo-defru2017magnetic",,,,,,,,,,
48353358,"Kepler-1651",18.184,0.133,"mcquillan2013stellar",,,,,,2456107.39201106,2459023.92357133,2916.53156027477,2486.14929323308,1.17311199621564
63126862,"Kepler-42",68.23,1.78,"mazeh2015photometric",,,,,,2455702.51950846,2456307.0575847,604.538076237775,2615.35556179775,0.231149479278537
67646988,"LP 261-75",2.219,,"newton2016rotation","no error given",,,,,2458872.24648414,2459632.38226863,760.135784494225,"inf",0
98796344,"LTT 1445 A",,,"winters2022second","85 d expected but not yet measured",,,,,2458414.04914698,2459167.36961763,753.320470647421,"inf",0
120105470,"Kepler-1627",2.5949,0.0007,"reinhold2013rotation",,38,6,5,"bouma202238a",2456214.58843919,2459767.55,3552.96156080719,9619.2943,0.369357818775457
120418600,"Kepler-974",34.9037,0.1299,"reinhold2013rotation",,,,,,2456348.11748715,2456363.6084829,15.4909957484342,9378.5086504234,0.001651754700651
122066949,"Kepler-705",20.09,1,"torres2017validation",,,,,,2455960.16177295,2456262.08054578,301.918772826903,403.6081,0.748049340008049
138297607,"Kepler-636",17.2,0.1,"mazeh2015photometric","multiple star",5.01,3.15,2.6,"morton2016false",2455578.87022658,2456105.46056842,526.590341839008,2958.4,0.177998357841742
158322085,"Kepler-1558",12.1554,0.0388,"angus2018inferring",,,,,,2455945.51150954,2455988.77147131,43.2599617773667,3808.0863185567,0.01136002657465
