"tstamp","period","sector","subsample","AD","p","nsteps_mcmc","nflares","totobs_days","shift"
"2021-08-31","Orbit","Both Sectors","total",0.874389477464717,0.2596,10000,189,48.4490740740741,0
"2021-08-31","Orbit","Sector 1","total",3.03980810750349,0.1374,10000,75,25.1305555555556,0
"2021-08-31","Orbit","Sector 27","total",1.68077269930404,0.7914,10000,114,23.3185185185185,0
"2021-08-31","Orbit","Both Sectors","high energy half",1.99685102845734,0.6406,10000,71,48.4490740740741,0
"2021-08-31","Orbit","Sector 1","high energy half",1.50078089283769,0.3036,10000,38,25.1305555555556,0
"2021-08-31","Orbit","Sector 27","high energy half",0.902818688340147,0.6126,10000,33,23.3185185185185,0
"2021-08-31","Orbit","Both Sectors","low energy half",0.731699096158351,0.0872,10000,118,48.4490740740741,0
"2021-08-31","Orbit","Sector 1","low energy half",2.52485873620473,0.037,10000,37,25.1305555555556,0
"2021-08-31","Orbit","Sector 27","low energy half",2.50165066606999,0.4536,10000,81,23.3185185185185,0
"2021-08-31","Rotation","Both Sectors","total",2.20011757008729,0.3048,10000,189,48.4490740740741,0
"2021-08-31","Rotation","Sector 1","total",2.4302053695379,0.6872,10000,75,25.1305555555556,0
"2021-08-31","Rotation","Sector 27","total",1.46213138005021,0.6546,10000,114,23.3185185185185,0
"2021-08-31","Rotation","Both Sectors","high energy half",1.34794984942617,0.4376,10000,71,48.4490740740741,0
"2021-08-31","Rotation","Sector 1","high energy half",3.33872787975785,0.8102,10000,38,25.1305555555556,0
"2021-08-31","Rotation","Sector 27","high energy half",2.39214945524883,0.1676,10000,33,23.3185185185185,0
"2021-08-31","Rotation","Both Sectors","low energy half",1.36586965254226,0.7308,10000,118,48.4490740740741,0
"2021-08-31","Rotation","Sector 1","low energy half",1.16462721345476,0.4502,10000,37,25.1305555555556,0
"2021-08-31","Rotation","Sector 27","low energy half",1.01648190619932,0.9558,10000,81,23.3185185185185,0
"2021-08-31","Orbit","Both Sectors","total",0.874389477464717,0.2794,10000,189,48.4490740740741,0
"2021-08-31","Orbit","Both Sectors","total",2.68981331942948,0.234,10000,189,48.4490740740741,0.2
"2021-08-31","Orbit","Both Sectors","total",1.14296060137846,0.7158,10000,189,48.4490740740741,0.4
"2021-08-31","Orbit","Both Sectors","total",0.784890898486793,0.7304,10000,189,48.4490740740741,0.6
"2021-08-31","Orbit","Both Sectors","total",1.32011496054099,0.6046,10000,189,48.4490740740741,0.8
"2021-08-31","Orbit","Sector 1","total",1.90586861734667,0.1814,10000,75,25.1305555555556,0.2
"2021-08-31","Orbit","Sector 1","total",1.73781475421534,0.2502,10000,75,25.1305555555556,0.4
"2021-08-31","Orbit","Sector 1","total",1.24441649996936,0.5316,10000,75,25.1305555555556,0.6
"2021-08-31","Orbit","Sector 1","total",1.30961656458979,0.4518,10000,75,25.1305555555556,0.8
"2021-08-31","Orbit","Sector 27","total",2.17734601626958,0.2014,10000,114,23.3185185185185,0.2
"2021-08-31","Orbit","Sector 27","total",0.851572830490781,0.925,10000,114,23.3185185185185,0.4
"2021-08-31","Orbit","Sector 27","total",0.683091140358954,0.5974,10000,114,23.3185185185185,0.6
"2021-08-31","Orbit","Sector 27","total",2.51936428428992,0.151,10000,114,23.3185185185185,0.8
"2021-08-31","Orbit","Both Sectors","high energy half",1.66310900062908,0.3846,10000,71,48.4490740740741,0.2
"2021-08-31","Orbit","Both Sectors","high energy half",1.75795546132477,0.3662,10000,71,48.4490740740741,0.4
"2021-08-31","Orbit","Both Sectors","high energy half",1.5820963322486,0.3468,10000,71,48.4490740740741,0.6
"2021-08-31","Orbit","Both Sectors","high energy half",2.53383433507538,0.6906,10000,71,48.4490740740741,0.8
"2021-08-31","Orbit","Sector 1","high energy half",0.982794634298749,0.7264,10000,38,25.1305555555556,0.2
"2021-08-31","Orbit","Sector 1","high energy half",0.989039116517354,0.6796,10000,38,25.1305555555556,0.4
"2021-08-31","Orbit","Sector 1","high energy half",0.812423459103854,0.9456,10000,38,25.1305555555556,0.6
"2021-08-31","Orbit","Sector 1","high energy half",1.21730415670387,0.5232,10000,38,25.1305555555556,0.8
"2021-08-31","Orbit","Sector 27","high energy half",1.25095615013736,0.6638,10000,33,23.3185185185185,0.2
"2021-08-31","Orbit","Sector 27","high energy half",1.16468548557128,0.1892,10000,33,23.3185185185185,0.4
"2021-08-31","Orbit","Sector 27","high energy half",1.07356798703607,0.814,10000,33,23.3185185185185,0.6
"2021-08-31","Orbit","Sector 27","high energy half",1.68597004914141,0.5954,10000,33,23.3185185185185,0.8
"2021-08-31","Orbit","Both Sectors","low energy half",2.453254847195,0.2072,10000,118,48.4490740740741,0.2
"2021-08-31","Orbit","Both Sectors","low energy half",0.517948345262568,0.1908,10000,118,48.4490740740741,0.4
"2021-08-31","Orbit","Both Sectors","low energy half",0.362030557566882,0.115,10000,118,48.4490740740741,0.6
"2021-08-31","Orbit","Both Sectors","low energy half",0.434334903594959,0.1768,10000,118,48.4490740740741,0.8
"2021-08-31","Orbit","Sector 1","low energy half",2.67297001114403,0.057,10000,37,25.1305555555556,0.2
"2021-08-31","Orbit","Sector 1","low energy half",2.13030086085087,0.1424,10000,37,25.1305555555556,0.4
"2021-08-31","Orbit","Sector 1","low energy half",1.46282927619259,0.367,10000,37,25.1305555555556,0.6
"2021-08-31","Orbit","Sector 1","low energy half",2.97593758649981,0.0416,10000,37,25.1305555555556,0.8
"2021-08-31","Orbit","Sector 27","low energy half",1.9729593562712,0.578,10000,81,23.3185185185185,0.2
"2021-08-31","Orbit","Sector 27","low energy half",0.795072585894332,0.6342,10000,81,23.3185185185185,0.4
"2021-08-31","Orbit","Sector 27","low energy half",0.672584011617261,0.5764,10000,81,23.3185185185185,0.6
"2021-08-31","Orbit","Sector 27","low energy half",1.67324931747837,0.3674,10000,81,23.3185185185185,0.8
"2021-08-31","Rotation","Both Sectors","total",2.46326172991382,0.131,10000,189,48.4490740740741,0.2
"2021-08-31","Rotation","Both Sectors","total",1.2674960981926,0.8894,10000,189,48.4490740740741,0.4
"2021-08-31","Rotation","Both Sectors","total",2.22349945445106,0.2272,10000,189,48.4490740740741,0.6
"2021-08-31","Rotation","Both Sectors","total",5.33022312798167,0.0038,10000,189,48.4490740740741,0.8
"2021-08-31","Rotation","Sector 1","total",1.58149173505645,0.3432,10000,75,25.1305555555556,0.2
"2021-08-31","Rotation","Sector 1","total",2.62388718138439,0.0752,10000,75,25.1305555555556,0.4
"2021-08-31","Rotation","Sector 1","total",1.961991219365,0.177,10000,75,25.1305555555556,0.6
"2021-08-31","Rotation","Sector 1","total",2.54470462007896,0.0896,10000,75,25.1305555555556,0.8
"2021-08-31","Rotation","Sector 27","total",1.88553645372765,0.7138,10000,114,23.3185185185185,0.2
"2021-08-31","Rotation","Sector 27","total",1.53945832388217,0.6448,10000,114,23.3185185185185,0.4
"2021-08-31","Rotation","Sector 27","total",1.18230955394377,0.7896,10000,114,23.3185185185185,0.6
"2021-08-31","Rotation","Sector 27","total",3.52095983305848,0.04,10000,114,23.3185185185185,0.8
"2021-08-31","Rotation","Both Sectors","high energy half",1.18413142350222,0.689,10000,71,48.4490740740741,0.2
"2021-08-31","Rotation","Both Sectors","high energy half",1.49822108227573,0.7992,10000,71,48.4490740740741,0.4
"2021-08-31","Rotation","Both Sectors","high energy half",1.09033987727501,0.8222,10000,71,48.4490740740741,0.6
"2021-08-31","Rotation","Both Sectors","high energy half",2.65777520338727,0.1522,10000,71,48.4490740740741,0.8
"2021-08-31","Rotation","Sector 1","high energy half",1.08477066279205,0.6172,10000,38,25.1305555555556,0.2
"2021-08-31","Rotation","Sector 1","high energy half",2.40851074712854,0.121,10000,38,25.1305555555556,0.4
"2021-08-31","Rotation","Sector 1","high energy half",1.21923638935014,0.4982,10000,38,25.1305555555556,0.6
"2021-08-31","Rotation","Sector 1","high energy half",0.93097324639826,0.7942,10000,38,25.1305555555556,0.8
"2021-08-31","Rotation","Sector 27","high energy half",2.82250834779001,0.0736,10000,33,23.3185185185185,0.2
"2021-08-31","Rotation","Sector 27","high energy half",1.25770865429227,0.906,10000,33,23.3185185185185,0.4
"2021-08-31","Rotation","Sector 27","high energy half",1.20713575210903,0.824,10000,33,23.3185185185185,0.6
"2021-08-31","Rotation","Sector 27","high energy half",3.91926252371156,0.1542,10000,33,23.3185185185185,0.8
"2021-08-31","Rotation","Both Sectors","low energy half",1.58212589514501,0.5168,10000,118,48.4490740740741,0.2
"2021-08-31","Rotation","Both Sectors","low energy half",0.953123428886087,0.2834,10000,118,48.4490740740741,0.4
