istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n
6112,6127,140855,140870,1423.09273742192,1423.11357057041,4.72035201938598,0.211319431518108,0.004199178897341,0.020833148487327,14306,WASP-77 A,4,TESS,04_02_2021_11_34_29,2.413604,0
6134,6140,140877,140883,1423.1232927069,1423.13162596694,2.49923427893397,0.268311405538715,0.005335974568875,0.008333260046584,14306,WASP-77 A,4,TESS,04_02_2021_11_34_29,2.413604,0
71800,71803,4052675,4052678,2165.57881624925,2165.57951067151,0.723566982423187,0.069118543946839,0.014784286533106,0.000694422256402,88637,WASP-77 A,31,TESS,04_02_2021_11_35_14,22.145443,0
,,,,,,,,,,14683,WASP-77 A,31,TESS,04_02_2021_11_35_17,2.186492,1
17293,17297,170430,170434,1464.16718148247,1464.17273696356,29.2327880630783,3.40026989845064,0.075335967343341,0.005555481086958,17371,NGTS-6,5,TESS,04_02_2021_11_35_39,5.857953,0
,,,,,,,,,,14403,HATS-45,6,TESS,04_02_2021_11_35_54,2.307292,0
,,,,,,,,,,15852,HATS-45,7,TESS,04_02_2021_11_36_10,2.463655,0
,,,,,,,,,,17386,HATS-28,13,TESS,04_02_2021_11_36_26,3.09601600000001,0
,,,,,,,,,,17288,HATS-23,13,TESS,04_02_2021_11_36_45,4.63313199999999,0
,,,,,,,,,,16296,XO-3,19,TESS,04_02_2021_11_37_01,2.48502999999999,0
,,,,,,,,,,16539,WASP-13,21,TESS,04_02_2021_11_37_18,3.00755100000001,0
,,,,,,,,,,12929,WASP-44,3,TESS,04_02_2021_11_37_32,1.748761,0
16943,16946,170279,170282,1463.95779843196,1463.96196503661,4.71382601607952,0.703514310546539,0.01614765848802,0.004166604645434,17172,WASP-61,5,TESS,04_02_2021_11_37_49,3.249262,0
17062,17066,170398,170402,1464.12307381049,1464.12862928808,8.91409310315864,0.648289204612135,0.025458138531412,0.005555477594498,17172,WASP-61,5,TESS,04_02_2021_11_37_49,3.249262,0
,,,,,,,,,,12744,WASP-36,8,TESS,04_02_2021_11_38_04,1.998513,0
,,,,,,,,,,13883,HATS-18,10,TESS,04_02_2021_11_38_23,4.11194500000001,0
,,,,,,,,,,15059,HATS-22,10,TESS,04_02_2021_11_38_40,3.729136,0
