tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-09-02,Orbit,Both Sectors,total,0.04761891943087,0.411350633348643,0.083947541365287,0.065813189072556,0.083947541365287,0.131590456075173,189,48.4490740740741,0
2021-09-02,Orbit,Both Sectors,total,0.024502645423968,0.784244826563491,0.107063815372189,0.012149669043294,0.107063815372189,0.024299608266984,189,48.4490740740741,0.1
2021-09-02,Orbit,Both Sectors,total,0.050277543819956,0.372150940859408,0.0812889169762,0.077864416857813,0.0812889169762,0.155658032895145,189,48.4490740740741,0.2
2021-09-02,Orbit,Both Sectors,total,0.124685452698027,0.002545202125362,0.006881008098129,0.977805938936946,0.124685452698027,0.005090404250723,189,48.4490740740741,0.3
2021-09-02,Orbit,Both Sectors,total,0.077809051081065,0.096247343056029,0.053757409715092,0.323799624780672,0.077809051081065,0.192328420289867,189,48.4490740740741,0.4
2021-09-02,Orbit,Both Sectors,total,0.060480523372669,0.241105257220485,0.071085937423488,0.141218344179131,0.071085937423488,0.281658998176228,189,48.4490740740741,0.5
2021-09-02,Orbit,Both Sectors,total,0.027626231903154,0.735936081924952,0.103940228893003,0.015634625796044,0.103940228893003,0.031269459891686,189,48.4490740740741,0.6
2021-09-02,Orbit,Both Sectors,total,0.033183501281229,0.645351576059045,0.098382959514928,0.024039095400751,0.098382959514928,0.04807786358678,189,48.4490740740741,0.7
2021-09-02,Orbit,Both Sectors,total,0.015523247034739,0.903633618668845,0.116043213761419,0.005644273107104,0.116043213761419,0.011288546214208,189,48.4490740740741,0.8
2021-09-02,Orbit,Both Sectors,total,0.032015614501934,0.664700600647581,0.099550846294223,0.022004269501871,0.099550846294223,0.044008407495233,189,48.4490740740741,0.9
2021-09-02,Orbit,Sector 1,total,0.02991267823588,0.857530657855112,0.153110054898493,0.026594071904961,0.153110054898493,0.053187343311804,75,25.1305555555556,0
2021-09-02,Orbit,Sector 1,total,0.01572381268192,0.953472576365577,0.167298920452452,0.013239426312216,0.167298920452452,0.02647880821904,75,25.1305555555556,0.1
2021-09-02,Orbit,Sector 1,total,0.077362661655798,0.387567820273445,0.105660071478575,0.174754970621235,0.105660071478575,0.347729667602248,75,25.1305555555556,0.2
2021-09-02,Orbit,Sector 1,total,0.154586787517041,0.024803925193719,0.028435945617332,0.869470450454542,0.154586787517041,0.049607250210932,75,25.1305555555556,0.3
2021-09-02,Orbit,Sector 1,total,0.135963302752294,0.056861582719431,0.047059430382079,0.695783726621924,0.135963302752294,0.113704894239024,75,25.1305555555556,0.4
2021-09-02,Orbit,Sector 1,total,0.104338086290115,0.182362628977839,0.078684646844258,0.375429219140298,0.104338086290115,0.362609146434661,75,25.1305555555556,0.5
2021-09-02,Orbit,Sector 1,total,0.046682141409676,0.699654219263716,0.136340591724697,0.055973117469722,0.136340591724697,0.111929106450997,75,25.1305555555556,0.6
2021-09-02,Orbit,Sector 1,total,0.068900924800118,0.469228289179225,0.114121808334254,0.131374319544495,0.114121808334254,0.262190018595864,75,25.1305555555556,0.7
