tstamp,TIC,ID,number_of_flares,tot_obs_time,phaseshift,N_mcmc_steps,p-value,AD2,subsample,period
2022_08_31,26417717,Kepler-808,13,278.272544783678,0,10000,0.5762,0.54384887078559,ED>1s,orbit
2022_08_31,26417717,Kepler-808,13,278.272544783678,0.5,10000,0.572,0.54384887078559,ED>1s,orbit
2022_08_31,26417717,Kepler-808,13,278.272544783678,0.25,10000,0.6092,0.54384887078559,ED>1s,orbit
2022_08_31,26417717,Kepler-808,13,278.272544783678,0.75,10000,0.5964,0.54384887078559,ED>1s,orbit
2022_09_02,26417717,Kepler-808,13,278.272544783678,0,10000,0.133,2.36831879336082,ED>1s,rotation
2022_09_02,26417717,Kepler-808,13,278.272544783678,0.5,10000,0.1294,2.36831879336082,ED>1s,rotation
2022_09_02,26417717,Kepler-808,13,278.272544783678,0.25,10000,0.1402,2.36831879336082,ED>1s,rotation
2022_09_02,26417717,Kepler-808,13,278.272544783678,0.75,10000,0.1118,2.36831879336082,ED>1s,rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0,10000,0.0048,4.95652373242689,ED>1s,5d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.5,10000,0.0062,4.95652373242689,ED>1s,5d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.25,10000,0.0038,4.95652373242689,ED>1s,5d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.75,10000,0.0066,4.95652373242689,ED>1s,5d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0,10000,0.9746,0.789462343623402,ED>1s,15d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.5,10000,0.9726,0.789462343623402,ED>1s,15d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.75,10000,0.9164,0.789462343623402,ED>1s,15d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.25,10000,0.9672,0.789462343623402,ED>1s,15d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0,10000,0.0322,3.46242406658553,ED>1s,10d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.5,10000,0.0432,3.46242406658553,ED>1s,10d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.75,10000,0.0288,3.46242406658553,ED>1s,10d_rotation
2022_09_05,26417717,Kepler-808,13,278.272544783678,0.25,10000,0.0414,3.46242406658553,ED>1s,10d_rotation
2022_09_06,26417717,Kepler-808,13,278.272544783678,0,10000,0.8096,0.889016969253419,ED>1s,rand_rotation_05_20
2022_11_28,26417717,Kepler-808,15,278.272544783678,0,10000,0.8394,0.656981768419566,all,orbit
2022_11_28,26417717,Kepler-808,15,278.272544783678,0.5,10000,0.8316,0.656981768419566,all,orbit
2022_11_28,26417717,Kepler-808,15,278.272544783678,0.25,10000,0.8476,0.656981768419566,all,orbit
2022_11_28,26417717,Kepler-808,15,278.272544783678,0.75,10000,0.8124,0.656981768419566,all,orbit
2023_01_12,26417717,Kepler-808,15,278.272544783678,0,10000,0.8302,0.917353378091393,all,randomized_orbit
2023_01_12,26417717,Kepler-808,15,278.272544783678,0.5,10000,0.2566,1.72950611621258,all,randomized_orbit
2023_01_12,26417717,Kepler-808,15,278.272544783678,0.25,10000,0.3296,0.410502730956287,all,randomized_orbit
2023_01_12,26417717,Kepler-808,15,278.272544783678,0.75,10000,0.5286,1.13713838234355,all,randomized_orbit
2022_08_31,27769688,Kepler-396,3,232.876315088026,0,10000,0.2056,1.86952569795133,ED>1s,orbit
2022_08_31,27769688,Kepler-396,3,232.876315088026,0.5,10000,0.2356,1.86952569795133,ED>1s,orbit
2022_08_31,27769688,Kepler-396,3,232.876315088026,0.25,10000,0.2392,1.86952569795133,ED>1s,orbit
2022_08_31,27769688,Kepler-396,3,232.876315088026,0.75,10000,0.2188,1.86952569795133,ED>1s,orbit
2022_09_02,27769688,Kepler-396,3,232.876315088026,0,10000,0.6392,0.552739836576695,ED>1s,rotation
2022_09_02,27769688,Kepler-396,3,232.876315088026,0.5,10000,0.6194,0.552739836576695,ED>1s,rotation
2022_09_02,27769688,Kepler-396,3,232.876315088026,0.25,10000,0.6452,0.552739836576695,ED>1s,rotation
2022_09_02,27769688,Kepler-396,3,232.876315088026,0.75,10000,0.6266,0.552739836576695,ED>1s,rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0,10000,0.9748,0.739513021608979,ED>1s,5d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.5,10000,0.9258,0.739513021608979,ED>1s,5d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.25,10000,0.968,0.739513021608979,ED>1s,5d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.75,10000,0.9672,0.739513021608979,ED>1s,5d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0,10000,0.0122,0.199226802076731,ED>1s,15d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.5,10000,0.0138,0.199226802076731,ED>1s,15d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.75,10000,0.0196,0.199226802076731,ED>1s,15d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.25,10000,0.014,0.199226802076731,ED>1s,15d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0,10000,0.5384,0.508929344094844,ED>1s,10d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.5,10000,0.5596,0.508929344094844,ED>1s,10d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.75,10000,0.5408,0.508929344094844,ED>1s,10d_rotation
2022_09_05,27769688,Kepler-396,3,232.876315088026,0.25,10000,0.5618,0.508929344094844,ED>1s,10d_rotation
2022_09_06,27769688,Kepler-396,3,232.876315088026,0,10000,0.1354,2.23650490128273,ED>1s,rand_rotation_05_20
2022_11_28,27769688,Kepler-396,7,232.876315088026,0,10000,0.1758,2.02495392093857,all,orbit
2022_11_28,27769688,Kepler-396,7,232.876315088026,0.5,10000,0.1962,2.02495392093857,all,orbit
2022_11_28,27769688,Kepler-396,7,232.876315088026,0.25,10000,0.1738,2.02495392093857,all,orbit
2022_11_28,27769688,Kepler-396,7,232.876315088026,0.75,10000,0.1792,2.02495392093857,all,orbit
2023_01_12,27769688,Kepler-396,7,232.876315088026,0,10000,0.5878,0.533028325624022,all,randomized_orbit
2023_01_12,27769688,Kepler-396,7,232.876315088026,0.5,10000,0.0898,0.275279291820183,all,randomized_orbit
2023_01_12,27769688,Kepler-396,7,232.876315088026,0.25,10000,0.633,1.05213594171711,all,randomized_orbit
2023_01_12,27769688,Kepler-396,7,232.876315088026,0.75,10000,0.2312,0.360807171793145,all,randomized_orbit
2022_08_31,28159518,Kepler-367,5,244.340292013316,0,10000,0.8394,0.688619990153129,ED>1s,orbit
2022_08_31,28159518,Kepler-367,5,244.340292013316,0.5,10000,0.8836,0.688619990153129,ED>1s,orbit
2022_08_31,28159518,Kepler-367,5,244.340292013316,0.25,10000,0.8692,0.688619990153129,ED>1s,orbit
2022_08_31,28159518,Kepler-367,5,244.340292013316,0.75,10000,0.8872,0.688619990153129,ED>1s,orbit
2022_09_02,28159518,Kepler-367,5,244.340292013316,0,10000,0.4244,1.32082681390818,ED>1s,rotation
2022_09_02,28159518,Kepler-367,5,244.340292013316,0.5,10000,0.4374,1.32082681390818,ED>1s,rotation
